order_item_id,order_id,product_id,quantity,unit_price,discount,line_total
1,1,63,2,177.99,0.0,355.98
2,1,37,2,1283.35,0.05,2438.36
3,1,5,2,896.97,0.15,1524.85
4,1,59,2,69.35,0.0,138.7
5,2,107,1,439.75,0.0,439.75
6,2,14,3,940.49,0.0,2821.47
7,3,90,2,52.55,0.05,99.84
8,4,154,2,49.31,0.0,98.62
9,5,18,2,406.98,0.1,732.56
10,5,91,1,137.43,0.0,137.43
11,5,85,1,273.07,0.0,273.07
12,5,50,3,56.98,0.15,145.3
13,6,162,2,268.31,0.0,536.62
14,6,134,2,16.87,0.05,32.05
15,7,89,2,209.28,0.0,418.56
16,7,160,3,171.84,0.1,463.97
17,7,84,1,125.39,0.05,119.12
18,7,73,2,23.69,0.05,45.01
19,8,130,3,31.35,0.15,79.94
20,8,18,2,406.98,0.15,691.87
21,8,40,3,1159.33,0.15,2956.29
22,8,97,2,276.87,0.0,553.74
23,8,85,1,273.07,0.0,273.07
24,9,11,2,75.29,0.0,150.58
25,9,12,1,282.57,0.0,282.57
26,10,107,2,439.75,0.1,791.55
27,10,39,3,83.39,0.0,250.17
28,11,42,1,1026.3,0.0,1026.3
29,12,120,3,313.24,0.05,892.73
30,12,43,1,98.6,0.0,98.6
31,13,187,3,235.9,0.1,636.93
32,13,96,3,147.68,0.0,443.04
33,13,121,3,66.21,0.15,168.84
34,13,67,2,136.19,0.1,245.14
35,13,148,1,28.2,0.15,23.97
36,14,153,1,11.69,0.05,11.11
37,14,63,2,177.99,0.0,355.98
38,14,58,2,83.59,0.1,150.46
39,15,14,1,940.49,0.0,940.49
40,15,152,3,34.24,0.0,102.72
41,15,77,1,98.73,0.0,98.73
42,15,66,2,121.4,0.0,242.8
43,16,93,2,104.61,0.0,209.22
44,16,106,1,61.39,0.0,61.39
45,16,103,1,117.43,0.1,105.69
46,16,108,2,321.84,0.15,547.13
47,16,146,1,41.33,0.0,41.33
48,17,111,1,439.76,0.0,439.76
49,17,40,2,1159.33,0.0,2318.66
50,17,107,2,439.75,0.0,879.5
51,17,122,2,393.23,0.05,747.14
52,18,104,1,222.45,0.0,222.45
53,18,111,1,439.76,0.1,395.78
54,19,154,3,49.31,0.05,140.53
55,19,84,1,125.39,0.0,125.39
56,20,39,3,83.39,0.05,237.66
57,21,14,2,940.49,0.0,1880.98
58,21,1,1,1395.38,0.0,1395.38
59,22,23,1,1380.56,0.0,1380.56
60,22,11,3,75.29,0.0,225.87
61,22,43,1,98.6,0.1,88.74
62,22,80,1,184.09,0.0,184.09
63,22,85,1,273.07,0.05,259.42
64,23,152,3,34.24,0.0,102.72
65,23,75,3,100.16,0.0,300.48
66,23,158,1,154.64,0.0,154.64
67,24,128,3,24.76,0.0,74.28
