order_id,customer_id,order_date,ship_date,total_amount,order_status
1,1,2023-07-20,2023-07-23,4457.89,Completed
2,1,2023-08-22,2023-08-26,3261.22,Completed
3,1,2023-10-05,2023-10-08,99.84,Completed
4,1,2024-01-03,2024-01-07,98.62,Completed
5,2,2022-10-20,2022-10-21,1288.36,Completed
6,3,2022-06-28,2022-07-03,568.67,Completed
7,3,2022-08-16,2022-08-21,1046.66,Completed
8,4,2022-03-03,2022-03-08,4554.91,Completed
9,5,2023-04-26,2023-04-30,433.15,Completed
10,5,2023-06-25,2023-06-30,1041.72,Completed
11,5,2023-07-28,2023-07-29,1026.3,Completed
12,5,2023-10-04,2023-10-05,991.33,Completed
13,5,2023-12-08,2023-12-11,1517.92,Completed
14,5,2024-02-28,2024-03-04,517.55,Completed
15,5,2024-04-13,2024-04-17,1384.74,Completed
16,5,2024-05-02,2024-05-07,964.76,Completed
17,5,2024-05-16,2024-05-20,4385.06,Completed
18,5,2024-07-12,2024-07-17,618.23,Completed
19,5,2024-08-09,2024-08-12,265.92,Completed
20,5,2024-08-26,2024-08-27,237.66,Completed
21,5,2024-11-04,2024-11-05,3276.36,Completed
22,6,2024-05-14,2024-05-17,2138.68,Completed
23,7,2023-07-31,2023-08-01,557.84,Completed
24,8,2024-05-17,2024-05-22,74.28,Completed
25,8,2024-06-29,2024-06-30,3442.1,Completed
26,8,2024-08-26,2024-08-30,636.09,Completed
27,9,2022-11-15,2022-11-16,16.48,Completed
28,9,2022-12-05,2022-12-09,213.34,Completed
29,9,2023-01-21,2023-01-26,630.7,Completed
30,9,2023-04-08,2023-04-13,1373.52,Completed
31,9,2023-05-29,2023-05-30,1150.91,Completed
32,9,2023-06-28,2023-07-02,1472.24,Completed
33,9,2023-09-15,2023-09-17,187.34,Completed
34,9,2023-10-03,2023-10-07,3914.78,Completed
35,9,2023-11-02,2023-11-06,1178.19,Completed
36,9,2023-12-22,2023-12-27,2295.97,Completed
37,10,2022-08-02,2022-08-07,690.33,Completed
38,10,2022-10-16,2022-10-20,47.38,Completed
39,10,2022-12-14,2022-12-19,747.14,Completed
40,10,2023-03-08,2023-03-13,131.91,Completed
41,11,2022-07-18,2022-07-20,1145.92,Completed
42,12,2023-06-30,2023-07-05,4257.96,Completed
43,13,2022-09-16,2022-09-20,1435.9,Completed
44,13,2022-10-05,2022-10-07,993.87,Completed
45,13,2022-11-01,2022-11-04,177.35,Completed
46,13,2023-01-17,2023-01-18,1159.33,Completed
47,14,2023-08-25,2023-08-28,2011.99,Completed
48,15,2023-02-05,2023-02-10,4776.83,Completed
49,15,2023-02-14,2023-02-19,230.62,Completed
50,16,2023-04-15,2023-04-19,3133.25,Completed
51,16,2023-05-16,2023-05-21,1205.58,Completed
52,16,2023-06-17,2023-06-18,228.93,Completed
53,16,2023-09-05,2023-09-08,479.42,Completed
54,16,2023-10-25,2023-10-29,133.54,Completed
55,16,2023-11-18,2023-11-19,2474.31,Completed
56,16,2024-01-04,2024-01-06,633.94,Completed
57,16,2024-02-13,2024-02-17,310.6,Completed
58,17,2023-04-26,2023-04-30,598.34,Completed
59,17,2023-05-26,2023-05-27,170.13,Completed
60,17,2023-06-14,2023-06-17,4092.42,Completed
61,17,2023-07-26,2023-07-29,1871.52,Completed
62,17,2023-09-24,2023-09-25,4240.7,Completed
63,17,2023-10-06,2023-10-10,1812.72,Completed
64,17,2023-11-24,2023-11-26,662.73,Completed
65,17,2024-01-30,2024-02-01,615.4,Completed
66,17,2024-02-06,2024-02-11,485.84,Completed
67,17,2024-05-01,2024-05-05,265.35,Completed
68,17,2024-06-29,2024-07-04,929.47,Completed
69,17,2024-09-07,2024-09-08,667.35,Completed
70,18,2023-07-26,2023-07-31,177.04,Completed
71,18,2023-08-07,2023-08-09,697.88,Completed
72,18,2023-09-10,2023-09-13,23.97,Completed
73,18,2023-10-13,2023-10-14,61.39,Completed
74,19,2024-01-20,2024-01-21,993.4,Completed
75,19,2024-02-21,2024-02-23,494.37,Completed
76,19,2024-04-30,2024-05-04,2315.7,Completed
77,19,2024-07-04,2024-07-09,1681.89,Completed
78,19,2024-07-12,2024-07-16,1316.82,Completed
79,20,2023-12-31,2024-01-01,1236.83,Completed
80,20,2024-03-29,2024-03-31,445.05,Completed
81,20,2024-06-10,2024-06-13,64.64,Completed
82,21,2023-07-07,2023-07-08,41.33,Completed
83,22,2022-12-21,2022-12-23,1049.32,Completed
84,23,2024-08-07,2024-08-09,389.04,Completed
85,23,2024-10-07,2024-10-10,785.54,Completed
86,23,2024-10-26,2024-10-30,657.69,Completed
87,24,2023-03-26,2023-03-27,24.69,Completed
88,24,2023-05-24,2023-05-25,860.15,Completed
89,24,2023-08-09,2023-08-13,345.69,Completed
90,24,2023-08-20,2023-08-23,32.96,Completed
91,25,2023-04-22,2023-04-24,42.35,Completed
92,26,2024-04-05,2024-04-10,1935.7,Completed
93,26,2024-05-24,2024-05-25,51.48,Completed
